,CDS,Labeling and mislabeling,Catastrophizing,Dichotomous Reasoning,Emotional Reasoning,Disqualifying the Positive,Magnification and Minimization,Mental Filtering,Mindreading,Fortune-telling,Overgeneralizing,Personalizing,Should statements
0,0.20404739600297675,0.019065806257951696,0.000623216488490057,0.13204506951054784,6.186746941056295e-05,0.0007377075172005535,0.013612335069248183,0.0001560213170782587,0.014215240400590376,0.0042885505537874884,0.003102056206659926,0.0016526780924986603,0.0437616743564659
1,0.20413956488839127,0.019157923946371766,0.0005882880973427598,0.13209127938877413,6.434966202420317e-05,0.0007783525325107282,0.013479131106927309,0.00015446986941639284,0.01422068751244204,0.004389588844716313,0.003044117240916436,0.001703114128897939,0.04358467450100624
2,0.20486575108786786,0.01922582285440718,0.000566437019916471,0.13281725990286877,7.04567134337218e-05,0.0007530478788618219,0.013817328945523863,0.00015273508500499253,0.01430414033831949,0.004209250340952482,0.0031331476694892407,0.001676652350726046,0.04335420035961543
3,0.20480936486193307,0.019238524796365432,0.0005804309459902666,0.13254326437290243,7.983454973307702e-05,0.0007355073713010343,0.013703452289471448,0.0001405384859510017,0.014249480589487851,0.004364462072302137,0.003101657259408762,0.0017011753105653654,0.0435290350584411
4,0.2045871750415369,0.019090321354434,0.0005688925787802019,0.13271853804059652,7.986394059166485e-05,0.0007436532088221513,0.01367198086544951,0.00014921277795746534,0.014132594407994362,0.004258610669698839,0.0031487631948885343,0.001689919718232592,0.04356714915703852
5,0.20475467558068275,0.01930392654505234,0.0006100904776020806,0.1327420214537953,7.421489195889171e-05,0.0007492584506610875,0.013808170204128788,0.00016090573406815742,0.014180305968933599,0.004270709891717466,0.003159596316169549,0.0016766113020862151,0.04356844726852881
6,0.2035595322278531,0.019093571963422405,0.000639709015942095,0.13161421544056495,5.646453818873784e-05,0.0007274120108359201,0.013683520340787807,0.00015184325735392317,0.01417031300399659,0.004285828311193233,0.003044927160826949,0.001697926872791421,0.04350385121788048
7,0.2048271155042464,0.019064999547965977,0.0005955677288356837,0.13280019019406825,6.900794120816072e-05,0.0007755383741662145,0.01372125857989341,0.00016736778611070385,0.014300471605320794,0.004256830560428552,0.0031005530977048588,0.0016874374015723058,0.04360784082568508
8,0.2048265732466551,0.019199623933825558,0.0005987677054846648,0.13268159937395033,7.474715543346895e-05,0.0007746428509342009,0.013669355759172315,0.00014503018747493348,0.01409332799554115,0.004279936129469877,0.0032325384713045788,0.0016718020247206908,0.04363414437477711
9,0.204734235889587,0.019242965274165,0.000586049052510347,0.13266072664846063,7.258877223500259e-05,0.0007388589949757058,0.013811289121221095,0.00013985887451849422,0.014290501858400376,0.004246686285799935,0.003095877610011065,0.0017120750168190732,0.04350309323537758
